Description,Category
"csas, v celnici 1040/5",נסיעה לפראג
kaprova 42 14,נסיעה לפראג
prague walkthrough t1 p,נסיעה לפראג
"אופטיקה הלפרין בע""מ",נסיעה לפראג
"בנה""פ - הזמנת מט""ח",ביטוח ופיננסים
בריין בינה בעמ,חוגים
ג'יי.אר.-היינמן טרמינל 3,נסיעה לפראג
"דלק מנטה קמעונאות דרכים בע""מ נצח תל מונד",דלק
"העברה ב bit בנה""פ",נסיעה לפראג
הפניקס חיים ובריאות,ביטוח
ישיר ביטוח חיים,ביטוח
"מרקדו גולד תנובת יהודה בע""מ",סופר ומצרכי מזון
"פינוקי
  הטבע",סופר ומצרכי מזון
פינוקי הטבע,סופר ומצרכי מזון
פספורטכארד ישראל סוכנות לביטוח כללי 2014,
